time,x,y
2023-11-15 07:25:28.409060,1509,580
2023-11-15 07:25:28.715659,1477,558
2023-11-15 07:25:29.016681,1437,556
2023-11-15 07:25:29.311223,1406,531
2023-11-15 07:25:29.599041,1378,530
2023-11-15 07:25:29.886439,1356,529
2023-11-15 07:25:30.442457,1270,533
2023-11-15 07:25:30.726901,1236,528
2023-11-15 07:25:31.293467,1173,522
2023-11-15 07:25:31.577113,1150,499
2023-11-15 07:25:32.419453,1094,501
2023-11-15 07:25:32.696654,1079,496
2023-11-15 07:25:32.980004,1051,493
2023-11-15 07:25:33.539701,1001,493
2023-11-15 07:25:33.827816,970,493
2023-11-15 07:25:34.109921,953,497
2023-11-15 07:25:34.672175,922,495
2023-11-15 07:25:35.228782,884,502
2023-11-15 07:25:35.513521,865,540
2023-11-15 07:25:35.798604,839,548
2023-11-15 07:25:36.082408,784,554
2023-11-15 07:25:36.359178,773,555
2023-11-15 07:25:36.643088,748,582
2023-11-15 07:25:37.201371,669,585
2023-11-15 07:25:37.483554,650,582
2023-11-15 07:25:38.045517,580,584
2023-11-15 07:25:38.332724,550,595
2023-11-15 07:25:38.613092,534,594
2023-11-15 07:25:38.901889,522,602
2023-11-15 07:25:39.182182,514,602
2023-11-15 07:25:39.464323,515,598
2023-11-15 07:25:39.750783,516,600
2023-11-15 07:25:40.034734,512,607
2023-11-15 07:25:40.585561,512,604
2023-11-15 07:25:40.866946,512,599
2023-11-15 07:25:41.154335,513,599
2023-11-15 07:25:41.435403,512,600
2023-11-15 07:25:41.720289,513,600
2023-11-15 07:25:41.999179,513,600
2023-11-15 07:25:42.283624,498,607
2023-11-15 07:25:47.352043,440,555
