time,x,y
2023-11-15 07:32:57.719835,1788,689
2023-11-15 07:32:58.004084,1777,693
2023-11-15 07:32:58.286105,1659,675
2023-11-15 07:32:58.569567,1629,673
2023-11-15 07:32:58.852899,1504,666
2023-11-15 07:32:59.136426,1432,665
2023-11-15 07:32:59.430827,1360,668
2023-11-15 07:32:59.717444,1269,663
2023-11-15 07:33:00.006807,1202,661
2023-11-15 07:33:00.270297,1149,655
2023-11-15 07:33:00.570549,1038,655
2023-11-15 07:33:00.852766,1018,655
2023-11-15 07:33:01.137220,927,648
2023-11-15 07:33:01.432806,855,644
2023-11-15 07:33:01.719355,836,646
2023-11-15 07:33:02.003627,732,640
2023-11-15 07:33:02.299324,696,644
2023-11-15 07:33:02.586018,684,639
2023-11-15 07:33:02.870418,619,638
2023-11-15 07:33:03.152818,574,641
2023-11-15 07:33:03.440280,539,643
2023-11-15 07:33:03.719439,500,641
2023-11-15 07:33:04.003893,484,640
2023-11-15 07:33:04.284276,469,635
