time,x,y
2023-12-14 07:41:13.011214,1870.9074211120605,1043.96054148674
2023-12-14 07:41:13.394369,1733.8507461547852,1048.6953377723694
2023-12-14 07:41:14.165497,1692.1866989135742,1011.1418259143829
2023-12-14 07:41:14.544958,1547.387580871582,1045.127398967743
2023-12-14 07:41:14.942689,1480.5449867248535,1013.9019799232483
2023-12-14 07:41:15.311545,1342.1837997436523,962.7321267127991
2023-12-14 07:41:15.708613,1327.5820541381836,949.7983646392822
2023-12-14 07:41:16.078408,1223.4710884094238,897.3350965976715
2023-12-14 07:41:16.478480,1089.543056488037,888.6691045761108
2023-12-14 07:41:16.861576,1096.8226432800293,885.7727694511414
2023-12-14 07:41:17.245090,1089.4619750976562,873.0578756332397
2023-12-14 07:41:17.628045,1085.9131622314453,867.7905857563019
2023-12-14 07:41:18.023821,1008.9823150634766,839.1598498821259
2023-12-14 07:41:18.406888,936.0550689697266,852.4620187282562
2023-12-14 07:41:18.791269,903.1276416778564,831.4469003677368
2023-12-14 07:41:19.172822,899.8981761932373,821.9165074825287
2023-12-14 07:41:19.557662,908.3719539642334,821.6837346553802
2023-12-14 07:41:19.957564,937.2093772888184,835.9924399852753
2023-12-14 07:41:20.341512,991.3166427612305,840.8228945732117
2023-12-14 07:41:20.726409,1033.9352989196777,862.2771334648132
2023-12-14 07:41:21.108181,1032.9209518432617,849.172557592392
2023-12-14 07:41:21.508228,1111.8877029418945,845.6075477600098
2023-12-14 07:41:21.891198,1117.961311340332,847.425731420517
2023-12-14 07:41:22.292074,1126.3097190856934,850.0377953052521
2023-12-14 07:41:22.691283,1118.4516334533691,851.099853515625
2023-12-14 07:41:23.076369,1118.5564041137695,852.5405538082123
2023-12-14 07:41:23.457659,1118.7316131591797,856.7167532444
2023-12-14 07:41:23.841537,1077.8582954406738,818.5177087783813
2023-12-14 07:41:24.224892,981.7560195922852,818.6455535888672
2023-12-14 07:41:24.608074,964.951057434082,795.0683569908142
2023-12-14 07:41:24.994114,1018.0807113647461,768.9479434490204
2023-12-14 07:41:25.379246,1093.9426231384277,735.9992265701294
2023-12-14 07:41:25.773736,1133.4400177001953,738.5188508033752
2023-12-14 07:41:26.158112,1198.794994354248,743.7922883033752
2023-12-14 07:41:26.541399,1149.1740989685059,745.5546283721924
2023-12-14 07:41:26.923780,1146.18558883667,744.506539106369
2023-12-14 07:41:27.308103,1142.2532272338867,749.293155670166
2023-12-14 07:41:27.689389,1164.099941253662,731.7609393596649
2023-12-14 07:41:28.082744,1175.9238624572754,733.4163236618042
2023-12-14 07:41:28.459528,1136.8550491333008,729.0698897838593
2023-12-14 07:41:28.857997,1136.6147232055664,738.7101030349731
2023-12-14 07:41:29.241339,1139.6439743041992,736.8504631519318
2023-12-14 07:41:29.624458,1139.6880340576172,736.837363243103
2023-12-14 07:41:30.008000,1138.637866973877,739.3115401268005
2023-12-14 07:41:30.391491,1139.4532012939453,737.6894688606262
2023-12-14 07:41:30.774665,1136.9921493530273,739.345850944519
2023-12-14 07:41:31.157653,1138.1041145324707,713.8284838199615
2023-12-14 07:41:31.545597,1064.900951385498,755.9844088554382
2023-12-14 07:41:31.924535,1047.9411506652832,793.8910710811615
2023-12-14 07:41:32.308207,1020.2449607849121,831.5524399280548
2023-12-14 07:41:32.708090,1064.1667556762695,872.4459135532379
2023-12-14 07:41:33.089324,1247.5076293945312,963.1603682041168
2023-12-14 07:41:33.873877,1522.2075462341309,1021.4834797382355
