time,x,y
2023-11-15 07:26:43.843280,1605,662
2023-11-15 07:26:44.138289,1597,667
2023-11-15 07:26:44.430609,1569,669
2023-11-15 07:26:44.711141,1559,673
2023-11-15 07:26:44.984489,1544,676
2023-11-15 07:26:45.264892,1538,677
2023-11-15 07:26:45.551594,1500,686
2023-11-15 07:26:45.829388,1476,689
2023-11-15 07:26:46.104893,1450,686
2023-11-15 07:26:46.383560,1428,686
2023-11-15 07:26:46.667510,1403,687
2023-11-15 07:26:46.954875,1386,686
2023-11-15 07:26:47.227472,1356,686
2023-11-15 07:26:47.505452,1344,686
2023-11-15 07:26:47.789573,1306,688
2023-11-15 07:26:48.074088,1294,690
2023-11-15 07:26:48.358300,1262,689
2023-11-15 07:26:48.648603,1244,688
2023-11-15 07:26:48.939392,1220,691
2023-11-15 07:26:49.230179,1200,691
2023-11-15 07:26:49.519310,1191,692
2023-11-15 07:26:49.808336,1179,695
2023-11-15 07:26:50.091641,1162,693
2023-11-15 07:26:50.367183,1145,692
2023-11-15 07:26:50.643336,1118,695
2023-11-15 07:26:50.923903,1091,695
2023-11-15 07:26:51.205318,1076,695
2023-11-15 07:26:51.488768,1055,690
2023-11-15 07:26:51.767987,1031,689
2023-11-15 07:26:52.054590,997,690
2023-11-15 07:26:52.335186,968,704
2023-11-15 07:26:52.614771,963,710
2023-11-15 07:26:52.892801,939,722
2023-11-15 07:26:53.177907,936,722
2023-11-15 07:26:53.456330,939,729
2023-11-15 07:26:53.741467,920,744
2023-11-15 07:26:54.017852,884,753
2023-11-15 07:26:54.300970,877,749
2023-11-15 07:26:54.586844,861,745
2023-11-15 07:26:54.860808,841,744
2023-11-15 07:26:55.142824,815,749
2023-11-15 07:26:55.430227,789,751
2023-11-15 07:26:55.711052,774,747
2023-11-15 07:26:55.991176,755,749
2023-11-15 07:26:56.275034,758,749
2023-11-15 07:26:56.558874,755,747
2023-11-15 07:26:56.844901,748,748
2023-11-15 07:26:57.130298,745,746
2023-11-15 07:26:57.406703,745,745
2023-11-15 07:26:57.695338,737,731
2023-11-15 07:26:57.980208,732,729
2023-11-15 07:26:58.255392,712,727
2023-11-15 07:26:58.533170,702,727
2023-11-15 07:26:59.377988,654,749
2023-11-15 07:26:59.651739,638,750
2023-11-15 07:26:59.940362,634,749
2023-11-15 07:27:00.221779,632,749
2023-11-15 07:27:00.496864,621,750
2023-11-15 07:27:00.775994,590,752
2023-11-15 07:27:01.056562,599,755
2023-11-15 07:27:01.335710,589,763
2023-11-15 07:27:01.613074,577,762
2023-11-15 07:27:01.896062,546,768
2023-11-15 07:27:02.184426,532,776
2023-11-15 07:27:02.465685,526,777
2023-11-15 07:27:03.317972,444,806
